,molecule_chembl_id,pKi,max_phase,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
442,CHEMBL4800260,6.301029995663981,,504.21797059600004,0.3,5,0,5,6,36,6,0,38.77,0.38008853205037574,1.9970000000000014,2.8766783764316273,1,1,2,3,0,3,0,1,1
443,CHEMBL4791075,6.0,,582.1284826640001,0.3,5,0,5,7,37,6,0,38.77,0.3305733528043088,2.650400000000002,2.9648933943238376,1,1,2,3,0,3,0,1,1
444,CHEMBL4783427,6.404503778174426,,648.356322636,0.34146341463414637,7,1,5,7,48,19,0,75.38,0.09000033912228345,8.527800000000006,2.7891195651675567,0,0,0,4,1,5,0,0,0
445,CHEMBL4868687,4.995678626217358,,288.07217687200006,0.25,5,1,1,8,20,4,0,67.75999999999999,0.3984149965314843,2.06732,2.439241484796373,0,0,0,1,0,1,0,0,0
446,CHEMBL1995010,6.409269594207309,,278.043521688,0.14285714285714285,2,0,2,4,18,4,0,34.14,0.8010909629530139,3.6171200000000026,1.976489634136712,0,0,0,2,0,2,0,0,0
447,CHEMBL4845755,6.485585079419631,,296.034099876,0.14285714285714285,2,0,2,5,19,4,0,34.14,0.805711752809419,3.7562200000000026,2.0639252860499173,0,0,0,2,0,2,0,0,0
448,CHEMBL4863431,6.146058554119509,,312.004549336,0.14285714285714285,2,0,2,5,19,4,0,34.14,0.7906017965443044,4.270520000000004,2.057179857893166,0,0,0,2,0,2,0,0,0
449,CHEMBL4867081,6.599634726650061,,323.028599896,0.14285714285714285,5,0,2,7,21,5,0,77.28,0.47774148882725437,3.5253200000000025,2.194850782235884,0,0,0,2,0,2,0,0,0
450,CHEMBL4858117,6.781202001888262,,303.038770656,0.13333333333333333,3,0,2,5,20,4,0,57.93,0.8112786695502334,3.488800000000002,2.2277660701167132,0,0,0,2,0,2,0,0,0
451,CHEMBL4868918,6.830031826003108,,346.030906316,0.2,2,0,2,7,22,4,0,34.14,0.7567496077732279,4.635920000000003,2.212184126417526,0,0,0,2,0,2,0,0,0
452,CHEMBL4860610,6.702896349850743,,362.02582093600006,0.2,3,0,2,8,23,5,0,43.370000000000005,0.7339594597792458,4.515720000000003,2.272056256490316,0,0,0,2,0,2,0,0,0
453,CHEMBL4875944,6.660151216962364,,308.05408637200003,0.2,3,0,2,5,20,5,0,43.370000000000005,0.7912361296575032,3.625720000000003,2.024366070116713,0,0,0,2,0,2,0,0,0
454,CHEMBL4871975,7.59176003468815,,320.09047188,0.29411764705882354,2,0,2,4,21,5,0,34.14,0.7461936206301543,4.7405200000000045,2.128871471891056,0,0,0,2,0,2,0,0,0
455,CHEMBL4852721,6.803271277376713,,334.106121944,0.3333333333333333,2,0,2,4,22,4,0,34.14,0.7446970893228468,4.914620000000005,2.1793572033406026,0,0,0,2,0,2,0,0,0
456,CHEMBL4856400,7.638083381331357,,641.2454940040002,0.4117647058823529,6,5,6,9,43,11,0,95.83000000000001,0.0989192347683144,7.867600000000005,5.820165392956953,0,2,2,2,2,4,0,0,0
457,CHEMBL4849905,6.920818753952375,,426.278347088,0.42857142857142855,4,1,5,4,32,6,0,41.05,0.5459035755576623,5.7366000000000055,2.4031828962420896,1,1,2,2,1,3,0,1,1
458,CHEMBL5089821,4.508638306165727,,511.1454013879999,0.4166666666666667,9,1,5,12,36,4,0,109.52000000000002,0.6159349702581665,1.5168999999999995,5.54137696739284,0,3,3,2,0,2,0,0,0
